Column,Source_System,API_URL,Spatial_Res,Temporal_Res,Update_Frequency,Update_Category,Availability_Label,Missing_%,Missing_Root_Cause,Missing_Treatment,Gate1_Status,Gate2_Status
tmmn_Percentile,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
tmmx,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
tmmx_5D_max,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
tmmx_5D_mean,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
tmmx_Normal,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
tmmx_Percentile,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vpd,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vpd_5D_max,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vpd_5D_mean,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
vpd_Normal,GridMET,https://www.climatologylab.org/wget-gridmet.html,4 km,Daily,Daily,DAILY,PRE_FIRE_DYNAMIC,0.0,none,none,RETAINED,RETAINED
